image_filenames,label_filenames
patient001/patient001_ED.nii.gz,patient001/patient001_ED_gt.nii.gz
patient002/patient002_ED.nii.gz,patient002/patient002_ED_gt.nii.gz
patient011/patient011_ED.nii.gz,patient011/patient011_ED_gt.nii.gz
patient012/patient012_ED.nii.gz,patient012/patient012_ED_gt.nii.gz
patient021/patient021_ED.nii.gz,patient021/patient021_ED_gt.nii.gz
patient022/patient022_ED.nii.gz,patient022/patient022_ED_gt.nii.gz
patient031/patient031_ED.nii.gz,patient031/patient031_ED_gt.nii.gz
patient032/patient032_ED.nii.gz,patient032/patient032_ED_gt.nii.gz
patient041/patient041_ED.nii.gz,patient041/patient041_ED_gt.nii.gz
patient042/patient042_ED.nii.gz,patient042/patient042_ED_gt.nii.gz
patient051/patient051_ED.nii.gz,patient051/patient051_ED_gt.nii.gz
patient052/patient052_ED.nii.gz,patient052/patient052_ED_gt.nii.gz
patient061/patient061_ED.nii.gz,patient061/patient061_ED_gt.nii.gz
patient062/patient062_ED.nii.gz,patient062/patient062_ED_gt.nii.gz
patient071/patient071_ED.nii.gz,patient071/patient071_ED_gt.nii.gz
patient072/patient072_ED.nii.gz,patient072/patient072_ED_gt.nii.gz
