image_filenames,label_filenames
A5C2D2_ED/Img_resamp_12.nii.gz,A5C2D2_ED/GT_resamp_12.nii.gz
A5C2D2_ES/Img_resamp_12.nii.gz,A5C2D2_ES/GT_resamp_12.nii.gz
O4T6Y7_ED/Img_resamp_12.nii.gz,O4T6Y7_ED/GT_resamp_12.nii.gz
O4T6Y7_ES/Img_resamp_12.nii.gz,O4T6Y7_ES/GT_resamp_12.nii.gz
N9P5Z0_ED/Img_resamp_12.nii.gz,N9P5Z0_ED/GT_resamp_12.nii.gz
N9P5Z0_ES/Img_resamp_12.nii.gz,N9P5Z0_ES/GT_resamp_12.nii.gz
H7N4V9_ED/Img_resamp_12.nii.gz,H7N4V9_ED/GT_resamp_12.nii.gz
H7N4V9_ES/Img_resamp_12.nii.gz,H7N4V9_ES/GT_resamp_12.nii.gz
E6J4N8_ED/Img_resamp_12.nii.gz,E6J4N8_ED/GT_resamp_12.nii.gz
E6J4N8_ES/Img_resamp_12.nii.gz,E6J4N8_ES/GT_resamp_12.nii.gz
E3T0Z2_ED/Img_resamp_12.nii.gz,E3T0Z2_ED/GT_resamp_12.nii.gz
E3T0Z2_ES/Img_resamp_12.nii.gz,E3T0Z2_ES/GT_resamp_12.nii.gz
A3B7E5_ED/Img_resamp_12.nii.gz,A3B7E5_ED/GT_resamp_12.nii.gz
A3B7E5_ES/Img_resamp_12.nii.gz,A3B7E5_ES/GT_resamp_12.nii.gz
E5E6O8_ED/Img_resamp_12.nii.gz,E5E6O8_ED/GT_resamp_12.nii.gz
E5E6O8_ES/Img_resamp_12.nii.gz,E5E6O8_ES/GT_resamp_12.nii.gz
I7W4Y8_ED/Img_resamp_12.nii.gz,I7W4Y8_ED/GT_resamp_12.nii.gz
I7W4Y8_ES/Img_resamp_12.nii.gz,I7W4Y8_ES/GT_resamp_12.nii.gz
H0K3Q4_ED/Img_resamp_12.nii.gz,H0K3Q4_ED/GT_resamp_12.nii.gz
H0K3Q4_ES/Img_resamp_12.nii.gz,H0K3Q4_ES/GT_resamp_12.nii.gz
K9N0W0_ED/Img_resamp_12.nii.gz,K9N0W0_ED/GT_resamp_12.nii.gz
K9N0W0_ES/Img_resamp_12.nii.gz,K9N0W0_ES/GT_resamp_12.nii.gz
G7N8R7_ED/Img_resamp_12.nii.gz,G7N8R7_ED/GT_resamp_12.nii.gz
G7N8R7_ES/Img_resamp_12.nii.gz,G7N8R7_ES/GT_resamp_12.nii.gz
C2M6P8_ED/Img_resamp_12.nii.gz,C2M6P8_ED/GT_resamp_12.nii.gz
C2M6P8_ES/Img_resamp_12.nii.gz,C2M6P8_ES/GT_resamp_12.nii.gz
Q3Q6R8_ED/Img_resamp_12.nii.gz,Q3Q6R8_ED/GT_resamp_12.nii.gz
Q3Q6R8_ES/Img_resamp_12.nii.gz,Q3Q6R8_ES/GT_resamp_12.nii.gz
A9J8W7_ED/Img_resamp_12.nii.gz,A9J8W7_ED/GT_resamp_12.nii.gz
A9J8W7_ES/Img_resamp_12.nii.gz,A9J8W7_ES/GT_resamp_12.nii.gz
A8E1F4_ED/Img_resamp_12.nii.gz,A8E1F4_ED/GT_resamp_12.nii.gz
A8E1F4_ES/Img_resamp_12.nii.gz,A8E1F4_ES/GT_resamp_12.nii.gz
B4E1K1_ED/Img_resamp_12.nii.gz,B4E1K1_ED/GT_resamp_12.nii.gz
B4E1K1_ES/Img_resamp_12.nii.gz,B4E1K1_ES/GT_resamp_12.nii.gz
C8I7P7_ED/Img_resamp_12.nii.gz,C8I7P7_ED/GT_resamp_12.nii.gz
C8I7P7_ES/Img_resamp_12.nii.gz,C8I7P7_ES/GT_resamp_12.nii.gz
K5K6N1_ED/Img_resamp_12.nii.gz,K5K6N1_ED/GT_resamp_12.nii.gz
K5K6N1_ES/Img_resamp_12.nii.gz,K5K6N1_ES/GT_resamp_12.nii.gz
H8K2K7_ED/Img_resamp_12.nii.gz,H8K2K7_ED/GT_resamp_12.nii.gz
H8K2K7_ES/Img_resamp_12.nii.gz,H8K2K7_ES/GT_resamp_12.nii.gz
A2H5K9_ED/Img_resamp_12.nii.gz,A2H5K9_ED/GT_resamp_12.nii.gz
A2H5K9_ES/Img_resamp_12.nii.gz,A2H5K9_ES/GT_resamp_12.nii.gz
G1K1V3_ED/Img_resamp_12.nii.gz,G1K1V3_ED/GT_resamp_12.nii.gz
G1K1V3_ES/Img_resamp_12.nii.gz,G1K1V3_ES/GT_resamp_12.nii.gz
C3I2K3_ED/Img_resamp_12.nii.gz,C3I2K3_ED/GT_resamp_12.nii.gz
C3I2K3_ES/Img_resamp_12.nii.gz,C3I2K3_ES/GT_resamp_12.nii.gz
G2J1M5_ED/Img_resamp_12.nii.gz,G2J1M5_ED/GT_resamp_12.nii.gz
G2J1M5_ES/Img_resamp_12.nii.gz,G2J1M5_ES/GT_resamp_12.nii.gz
G0I6P3_ED/Img_resamp_12.nii.gz,G0I6P3_ED/GT_resamp_12.nii.gz
G0I6P3_ES/Img_resamp_12.nii.gz,G0I6P3_ES/GT_resamp_12.nii.gz
B3D0N1_ED/Img_resamp_12.nii.gz,B3D0N1_ED/GT_resamp_12.nii.gz
B3D0N1_ES/Img_resamp_12.nii.gz,B3D0N1_ES/GT_resamp_12.nii.gz
J9L6N9_ED/Img_resamp_12.nii.gz,J9L6N9_ED/GT_resamp_12.nii.gz
J9L6N9_ES/Img_resamp_12.nii.gz,J9L6N9_ES/GT_resamp_12.nii.gz
C7L8Z8_ED/Img_resamp_12.nii.gz,C7L8Z8_ED/GT_resamp_12.nii.gz
C7L8Z8_ES/Img_resamp_12.nii.gz,C7L8Z8_ES/GT_resamp_12.nii.gz
N7V9W9_ED/Img_resamp_12.nii.gz,N7V9W9_ED/GT_resamp_12.nii.gz
N7V9W9_ES/Img_resamp_12.nii.gz,N7V9W9_ES/GT_resamp_12.nii.gz
A4A8V9_ED/Img_resamp_12.nii.gz,A4A8V9_ED/GT_resamp_12.nii.gz
A4A8V9_ES/Img_resamp_12.nii.gz,A4A8V9_ES/GT_resamp_12.nii.gz
