image_filenames,label_filenames
patient001/patient001_ED.nii.gz,patient001/patient001_ED_gt.nii.gz
patient007/patient007_ED.nii.gz,patient007/patient007_ED_gt.nii.gz
patient013/patient013_ED.nii.gz,patient013/patient013_ED_gt.nii.gz
patient019/patient019_ED.nii.gz,patient019/patient019_ED_gt.nii.gz
patient021/patient021_ED.nii.gz,patient021/patient021_ED_gt.nii.gz
patient027/patient027_ED.nii.gz,patient027/patient027_ED_gt.nii.gz
patient033/patient033_ED.nii.gz,patient033/patient033_ED_gt.nii.gz
patient039/patient039_ED.nii.gz,patient039/patient039_ED_gt.nii.gz
patient041/patient041_ED.nii.gz,patient041/patient041_ED_gt.nii.gz
patient047/patient047_ED.nii.gz,patient047/patient047_ED_gt.nii.gz
patient053/patient053_ED.nii.gz,patient053/patient053_ED_gt.nii.gz
patient059/patient059_ED.nii.gz,patient059/patient059_ED_gt.nii.gz
patient061/patient061_ED.nii.gz,patient061/patient061_ED_gt.nii.gz
patient067/patient067_ED.nii.gz,patient067/patient067_ED_gt.nii.gz
patient073/patient073_ED.nii.gz,patient073/patient073_ED_gt.nii.gz
patient079/patient079_ED.nii.gz,patient079/patient079_ED_gt.nii.gz
patient081/patient081_ED.nii.gz,patient081/patient081_ED_gt.nii.gz
patient087/patient087_ED.nii.gz,patient087/patient087_ED_gt.nii.gz
patient093/patient093_ED.nii.gz,patient093/patient093_ED_gt.nii.gz
patient099/patient099_ED.nii.gz,patient099/patient099_ED_gt.nii.gz
