image_filenames,label_filenames
patient001/patient001_ES.nii.gz,patient001/patient001_ES_gt.nii.gz
patient007/patient007_ES.nii.gz,patient007/patient007_ES_gt.nii.gz
patient013/patient013_ES.nii.gz,patient013/patient013_ES_gt.nii.gz
patient019/patient019_ES.nii.gz,patient019/patient019_ES_gt.nii.gz
patient021/patient021_ES.nii.gz,patient021/patient021_ES_gt.nii.gz
patient027/patient027_ES.nii.gz,patient027/patient027_ES_gt.nii.gz
patient033/patient033_ES.nii.gz,patient033/patient033_ES_gt.nii.gz
patient039/patient039_ES.nii.gz,patient039/patient039_ES_gt.nii.gz
patient041/patient041_ES.nii.gz,patient041/patient041_ES_gt.nii.gz
patient047/patient047_ES.nii.gz,patient047/patient047_ES_gt.nii.gz
patient053/patient053_ES.nii.gz,patient053/patient053_ES_gt.nii.gz
patient059/patient059_ES.nii.gz,patient059/patient059_ES_gt.nii.gz
patient061/patient061_ES.nii.gz,patient061/patient061_ES_gt.nii.gz
patient067/patient067_ES.nii.gz,patient067/patient067_ES_gt.nii.gz
patient073/patient073_ES.nii.gz,patient073/patient073_ES_gt.nii.gz
patient079/patient079_ES.nii.gz,patient079/patient079_ES_gt.nii.gz
patient081/patient081_ES.nii.gz,patient081/patient081_ES_gt.nii.gz
patient087/patient087_ES.nii.gz,patient087/patient087_ES_gt.nii.gz
patient093/patient093_ES.nii.gz,patient093/patient093_ES_gt.nii.gz
patient099/patient099_ES.nii.gz,patient099/patient099_ES_gt.nii.gz
