image_filenames,label_filenames
P001-ED/Img.nii.gz,P001-ED/Img.nii.gz
P001-ES/Img.nii.gz,P001-ES/Img.nii.gz
P002-ED/Img.nii.gz,P002-ED/Img.nii.gz
P002-ES/Img.nii.gz,P002-ES/Img.nii.gz
P003-ED/Img.nii.gz,P003-ED/Img.nii.gz
P003-ES/Img.nii.gz,P003-ES/Img.nii.gz
P004-ED/Img.nii.gz,P004-ED/Img.nii.gz
P004-ES/Img.nii.gz,P004-ES/Img.nii.gz
P005-ED/Img.nii.gz,P005-ED/Img.nii.gz
P005-ES/Img.nii.gz,P005-ES/Img.nii.gz
P006-ED/Img.nii.gz,P006-ED/Img.nii.gz
P006-ES/Img.nii.gz,P006-ES/Img.nii.gz
P007-ED/Img.nii.gz,P007-ED/Img.nii.gz
P007-ES/Img.nii.gz,P007-ES/Img.nii.gz
P008-ED/Img.nii.gz,P008-ED/Img.nii.gz
P008-ES/Img.nii.gz,P008-ES/Img.nii.gz
P009-ED/Img.nii.gz,P009-ED/Img.nii.gz
P009-ES/Img.nii.gz,P009-ES/Img.nii.gz
P010-ED/Img.nii.gz,P010-ED/Img.nii.gz
P010-ES/Img.nii.gz,P010-ES/Img.nii.gz
P011-ED/Img.nii.gz,P011-ED/Img.nii.gz
P011-ES/Img.nii.gz,P011-ES/Img.nii.gz
P012-ED/Img.nii.gz,P012-ED/Img.nii.gz
P012-ES/Img.nii.gz,P012-ES/Img.nii.gz
P013-ED/Img.nii.gz,P013-ED/Img.nii.gz
P013-ES/Img.nii.gz,P013-ES/Img.nii.gz
P014-ED/Img.nii.gz,P014-ED/Img.nii.gz
P014-ES/Img.nii.gz,P014-ES/Img.nii.gz
P015-ED/Img.nii.gz,P015-ED/Img.nii.gz
P015-ES/Img.nii.gz,P015-ES/Img.nii.gz
P016-ED/Img.nii.gz,P016-ED/Img.nii.gz
P016-ES/Img.nii.gz,P016-ES/Img.nii.gz
P017-ED/Img.nii.gz,P017-ED/Img.nii.gz
P017-ES/Img.nii.gz,P017-ES/Img.nii.gz
P018-ED/Img.nii.gz,P018-ED/Img.nii.gz
P018-ES/Img.nii.gz,P018-ES/Img.nii.gz
P019-ED/Img.nii.gz,P019-ED/Img.nii.gz
P019-ES/Img.nii.gz,P019-ES/Img.nii.gz
P020-ED/Img.nii.gz,P020-ED/Img.nii.gz
P020-ES/Img.nii.gz,P020-ES/Img.nii.gz
