image_filenames,label_filenames
patient001/patient001_ES.nii.gz,patient001/patient001_ES_gt.nii.gz
patient002/patient002_ES.nii.gz,patient002/patient002_ES_gt.nii.gz
patient003/patient003_ES.nii.gz,patient003/patient003_ES_gt.nii.gz
patient004/patient004_ES.nii.gz,patient004/patient004_ES_gt.nii.gz
patient005/patient005_ES.nii.gz,patient005/patient005_ES_gt.nii.gz
patient006/patient006_ES.nii.gz,patient006/patient006_ES_gt.nii.gz
patient007/patient007_ES.nii.gz,patient007/patient007_ES_gt.nii.gz
patient008/patient008_ES.nii.gz,patient008/patient008_ES_gt.nii.gz
patient009/patient009_ES.nii.gz,patient009/patient009_ES_gt.nii.gz
patient010/patient010_ES.nii.gz,patient010/patient010_ES_gt.nii.gz
patient011/patient011_ES.nii.gz,patient011/patient011_ES_gt.nii.gz
patient012/patient012_ES.nii.gz,patient012/patient012_ES_gt.nii.gz
patient013/patient013_ES.nii.gz,patient013/patient013_ES_gt.nii.gz
patient014/patient014_ES.nii.gz,patient014/patient014_ES_gt.nii.gz
patient015/patient015_ES.nii.gz,patient015/patient015_ES_gt.nii.gz
patient016/patient016_ES.nii.gz,patient016/patient016_ES_gt.nii.gz
patient017/patient017_ES.nii.gz,patient017/patient017_ES_gt.nii.gz
patient018/patient018_ES.nii.gz,patient018/patient018_ES_gt.nii.gz
patient021/patient021_ES.nii.gz,patient021/patient021_ES_gt.nii.gz
patient022/patient022_ES.nii.gz,patient022/patient022_ES_gt.nii.gz
patient023/patient023_ES.nii.gz,patient023/patient023_ES_gt.nii.gz
patient024/patient024_ES.nii.gz,patient024/patient024_ES_gt.nii.gz
patient025/patient025_ES.nii.gz,patient025/patient025_ES_gt.nii.gz
patient026/patient026_ES.nii.gz,patient026/patient026_ES_gt.nii.gz
patient027/patient027_ES.nii.gz,patient027/patient027_ES_gt.nii.gz
patient028/patient028_ES.nii.gz,patient028/patient028_ES_gt.nii.gz
patient029/patient029_ES.nii.gz,patient029/patient029_ES_gt.nii.gz
patient030/patient030_ES.nii.gz,patient030/patient030_ES_gt.nii.gz
patient031/patient031_ES.nii.gz,patient031/patient031_ES_gt.nii.gz
patient032/patient032_ES.nii.gz,patient032/patient032_ES_gt.nii.gz
patient033/patient033_ES.nii.gz,patient033/patient033_ES_gt.nii.gz
patient034/patient034_ES.nii.gz,patient034/patient034_ES_gt.nii.gz
patient035/patient035_ES.nii.gz,patient035/patient035_ES_gt.nii.gz
patient036/patient036_ES.nii.gz,patient036/patient036_ES_gt.nii.gz
patient037/patient037_ES.nii.gz,patient037/patient037_ES_gt.nii.gz
patient038/patient038_ES.nii.gz,patient038/patient038_ES_gt.nii.gz
patient041/patient041_ES.nii.gz,patient041/patient041_ES_gt.nii.gz
patient042/patient042_ES.nii.gz,patient042/patient042_ES_gt.nii.gz
patient043/patient043_ES.nii.gz,patient043/patient043_ES_gt.nii.gz
patient044/patient044_ES.nii.gz,patient044/patient044_ES_gt.nii.gz
patient045/patient045_ES.nii.gz,patient045/patient045_ES_gt.nii.gz
patient046/patient046_ES.nii.gz,patient046/patient046_ES_gt.nii.gz
patient047/patient047_ES.nii.gz,patient047/patient047_ES_gt.nii.gz
patient048/patient048_ES.nii.gz,patient048/patient048_ES_gt.nii.gz
patient049/patient049_ES.nii.gz,patient049/patient049_ES_gt.nii.gz
patient050/patient050_ES.nii.gz,patient050/patient050_ES_gt.nii.gz
patient051/patient051_ES.nii.gz,patient051/patient051_ES_gt.nii.gz
patient052/patient052_ES.nii.gz,patient052/patient052_ES_gt.nii.gz
patient053/patient053_ES.nii.gz,patient053/patient053_ES_gt.nii.gz
patient054/patient054_ES.nii.gz,patient054/patient054_ES_gt.nii.gz
patient055/patient055_ES.nii.gz,patient055/patient055_ES_gt.nii.gz
patient056/patient056_ES.nii.gz,patient056/patient056_ES_gt.nii.gz
patient057/patient057_ES.nii.gz,patient057/patient057_ES_gt.nii.gz
patient058/patient058_ES.nii.gz,patient058/patient058_ES_gt.nii.gz
patient061/patient061_ES.nii.gz,patient061/patient061_ES_gt.nii.gz
patient062/patient062_ES.nii.gz,patient062/patient062_ES_gt.nii.gz
patient063/patient063_ES.nii.gz,patient063/patient063_ES_gt.nii.gz
patient064/patient064_ES.nii.gz,patient064/patient064_ES_gt.nii.gz
patient065/patient065_ES.nii.gz,patient065/patient065_ES_gt.nii.gz
patient066/patient066_ES.nii.gz,patient066/patient066_ES_gt.nii.gz
patient067/patient067_ES.nii.gz,patient067/patient067_ES_gt.nii.gz
patient068/patient068_ES.nii.gz,patient068/patient068_ES_gt.nii.gz
patient069/patient069_ES.nii.gz,patient069/patient069_ES_gt.nii.gz
patient070/patient070_ES.nii.gz,patient070/patient070_ES_gt.nii.gz
patient071/patient071_ES.nii.gz,patient071/patient071_ES_gt.nii.gz
patient072/patient072_ES.nii.gz,patient072/patient072_ES_gt.nii.gz
patient073/patient073_ES.nii.gz,patient073/patient073_ES_gt.nii.gz
patient074/patient074_ES.nii.gz,patient074/patient074_ES_gt.nii.gz
patient075/patient075_ES.nii.gz,patient075/patient075_ES_gt.nii.gz
patient076/patient076_ES.nii.gz,patient076/patient076_ES_gt.nii.gz
patient077/patient077_ES.nii.gz,patient077/patient077_ES_gt.nii.gz
patient078/patient078_ES.nii.gz,patient078/patient078_ES_gt.nii.gz
patient081/patient081_ES.nii.gz,patient081/patient081_ES_gt.nii.gz
patient082/patient082_ES.nii.gz,patient082/patient082_ES_gt.nii.gz
patient083/patient083_ES.nii.gz,patient083/patient083_ES_gt.nii.gz
patient084/patient084_ES.nii.gz,patient084/patient084_ES_gt.nii.gz
patient085/patient085_ES.nii.gz,patient085/patient085_ES_gt.nii.gz
patient086/patient086_ES.nii.gz,patient086/patient086_ES_gt.nii.gz
patient087/patient087_ES.nii.gz,patient087/patient087_ES_gt.nii.gz
patient088/patient088_ES.nii.gz,patient088/patient088_ES_gt.nii.gz
patient089/patient089_ES.nii.gz,patient089/patient089_ES_gt.nii.gz
patient090/patient090_ES.nii.gz,patient090/patient090_ES_gt.nii.gz
