image_filenames,label_filenames
A5C2D2_ES/Img_resamp_12.nii.gz,A5C2D2_ES/GT_resamp_12.nii.gz
O4T6Y7_ES/Img_resamp_12.nii.gz,O4T6Y7_ES/GT_resamp_12.nii.gz
N9P5Z0_ES/Img_resamp_12.nii.gz,N9P5Z0_ES/GT_resamp_12.nii.gz
H7N4V9_ES/Img_resamp_12.nii.gz,H7N4V9_ES/GT_resamp_12.nii.gz
E6J4N8_ED/Img_resamp_12.nii.gz,E6J4N8_ED/GT_resamp_12.nii.gz
E3T0Z2_ED/Img_resamp_12.nii.gz,E3T0Z2_ED/GT_resamp_12.nii.gz
A3B7E5_ES/Img_resamp_12.nii.gz,A3B7E5_ES/GT_resamp_12.nii.gz
E5E6O8_ES/Img_resamp_12.nii.gz,E5E6O8_ES/GT_resamp_12.nii.gz
I7W4Y8_ED/Img_resamp_12.nii.gz,I7W4Y8_ED/GT_resamp_12.nii.gz
H0K3Q4_ES/Img_resamp_12.nii.gz,H0K3Q4_ES/GT_resamp_12.nii.gz
K9N0W0_ED/Img_resamp_12.nii.gz,K9N0W0_ED/GT_resamp_12.nii.gz
G7N8R7_ED/Img_resamp_12.nii.gz,G7N8R7_ED/GT_resamp_12.nii.gz
C2M6P8_ES/Img_resamp_12.nii.gz,C2M6P8_ES/GT_resamp_12.nii.gz
Q3Q6R8_ED/Img_resamp_12.nii.gz,Q3Q6R8_ED/GT_resamp_12.nii.gz
A9J8W7_ED/Img_resamp_12.nii.gz,A9J8W7_ED/GT_resamp_12.nii.gz
A8E1F4_ED/Img_resamp_12.nii.gz,A8E1F4_ED/GT_resamp_12.nii.gz
B4E1K1_ED/Img_resamp_12.nii.gz,B4E1K1_ED/GT_resamp_12.nii.gz
C8I7P7_ES/Img_resamp_12.nii.gz,C8I7P7_ES/GT_resamp_12.nii.gz
K5K6N1_ES/Img_resamp_12.nii.gz,K5K6N1_ES/GT_resamp_12.nii.gz
H8K2K7_ES/Img_resamp_12.nii.gz,H8K2K7_ES/GT_resamp_12.nii.gz
A2H5K9_ES/Img_resamp_12.nii.gz,A2H5K9_ES/GT_resamp_12.nii.gz
G1K1V3_ED/Img_resamp_12.nii.gz,G1K1V3_ED/GT_resamp_12.nii.gz
C3I2K3_ED/Img_resamp_12.nii.gz,C3I2K3_ED/GT_resamp_12.nii.gz
G2J1M5_ES/Img_resamp_12.nii.gz,G2J1M5_ES/GT_resamp_12.nii.gz
G0I6P3_ED/Img_resamp_12.nii.gz,G0I6P3_ED/GT_resamp_12.nii.gz
B3D0N1_ES/Img_resamp_12.nii.gz,B3D0N1_ES/GT_resamp_12.nii.gz
J9L6N9_ED/Img_resamp_12.nii.gz,J9L6N9_ED/GT_resamp_12.nii.gz
C7L8Z8_ES/Img_resamp_12.nii.gz,C7L8Z8_ES/GT_resamp_12.nii.gz
N7V9W9_ED/Img_resamp_12.nii.gz,N7V9W9_ED/GT_resamp_12.nii.gz
A4A8V9_ED/Img_resamp_12.nii.gz,A4A8V9_ED/GT_resamp_12.nii.gz
B4S1Y2_ES/Img_resamp_12.nii.gz,B4S1Y2_ES/GT_resamp_12.nii.gz
A5E0T8_ES/Img_resamp_12.nii.gz,A5E0T8_ES/GT_resamp_12.nii.gz
E4W8Z7_ES/Img_resamp_12.nii.gz,E4W8Z7_ES/GT_resamp_12.nii.gz
G7Q2W0_ES/Img_resamp_12.nii.gz,G7Q2W0_ES/GT_resamp_12.nii.gz
C0S7W0_ED/Img_resamp_12.nii.gz,C0S7W0_ED/GT_resamp_12.nii.gz
K2S1U6_ED/Img_resamp_12.nii.gz,K2S1U6_ED/GT_resamp_12.nii.gz
B5T6V0_ED/Img_resamp_12.nii.gz,B5T6V0_ED/GT_resamp_12.nii.gz
M4T4V6_ES/Img_resamp_12.nii.gz,M4T4V6_ES/GT_resamp_12.nii.gz
N1P8Q9_ES/Img_resamp_12.nii.gz,N1P8Q9_ES/GT_resamp_12.nii.gz
C4R8T7_ES/Img_resamp_12.nii.gz,C4R8T7_ES/GT_resamp_12.nii.gz
M0P8U8_ES/Img_resamp_12.nii.gz,M0P8U8_ES/GT_resamp_12.nii.gz
F8N2S1_ES/Img_resamp_12.nii.gz,F8N2S1_ES/GT_resamp_12.nii.gz
A9J5Q7_ES/Img_resamp_12.nii.gz,A9J5Q7_ES/GT_resamp_12.nii.gz
B0N3W8_ES/Img_resamp_12.nii.gz,B0N3W8_ES/GT_resamp_12.nii.gz
B3S2Z4_ES/Img_resamp_12.nii.gz,B3S2Z4_ES/GT_resamp_12.nii.gz
B9O1Q0_ES/Img_resamp_12.nii.gz,B9O1Q0_ES/GT_resamp_12.nii.gz
D6E9U8_ED/Img_resamp_12.nii.gz,D6E9U8_ED/GT_resamp_12.nii.gz
F0J2R8_ED/Img_resamp_12.nii.gz,F0J2R8_ED/GT_resamp_12.nii.gz
E5F5V7_ED/Img_resamp_12.nii.gz,E5F5V7_ED/GT_resamp_12.nii.gz
D1L4Q9_ED/Img_resamp_12.nii.gz,D1L4Q9_ED/GT_resamp_12.nii.gz
M6V2Y0_ED/Img_resamp_12.nii.gz,M6V2Y0_ED/GT_resamp_12.nii.gz
A9C5P4_ED/Img_resamp_12.nii.gz,A9C5P4_ED/GT_resamp_12.nii.gz
C2L5P7_ED/Img_resamp_12.nii.gz,C2L5P7_ED/GT_resamp_12.nii.gz
G4L8Z7_ED/Img_resamp_12.nii.gz,G4L8Z7_ED/GT_resamp_12.nii.gz
M4P7Q6_ED/Img_resamp_12.nii.gz,M4P7Q6_ED/GT_resamp_12.nii.gz
E5S7W7_ES/Img_resamp_12.nii.gz,E5S7W7_ES/GT_resamp_12.nii.gz
D0H9I4_ES/Img_resamp_12.nii.gz,D0H9I4_ES/GT_resamp_12.nii.gz
E4O8P3_ED/Img_resamp_12.nii.gz,E4O8P3_ED/GT_resamp_12.nii.gz
B7F5P0_ED/Img_resamp_12.nii.gz,B7F5P0_ED/GT_resamp_12.nii.gz
E1L8Y4_ES/Img_resamp_12.nii.gz,E1L8Y4_ES/GT_resamp_12.nii.gz
C4S8W9_ES/Img_resamp_12.nii.gz,C4S8W9_ES/GT_resamp_12.nii.gz
L5Q6T7_ES/Img_resamp_12.nii.gz,L5Q6T7_ES/GT_resamp_12.nii.gz
B1G9J3_ES/Img_resamp_12.nii.gz,B1G9J3_ES/GT_resamp_12.nii.gz
D6H6O2_ED/Img_resamp_12.nii.gz,D6H6O2_ED/GT_resamp_12.nii.gz
L7Y7Z2_ED/Img_resamp_12.nii.gz,L7Y7Z2_ED/GT_resamp_12.nii.gz
Y6Y9Z2_ES/Img_resamp_12.nii.gz,Y6Y9Z2_ES/GT_resamp_12.nii.gz
E4M2Q7_ED/Img_resamp_12.nii.gz,E4M2Q7_ED/GT_resamp_12.nii.gz
F5I9Q2_ES/Img_resamp_12.nii.gz,F5I9Q2_ES/GT_resamp_12.nii.gz
A7G0P5_ED/Img_resamp_12.nii.gz,A7G0P5_ED/GT_resamp_12.nii.gz
E3L8U8_ES/Img_resamp_12.nii.gz,E3L8U8_ES/GT_resamp_12.nii.gz
I0I2J8_ED/Img_resamp_12.nii.gz,I0I2J8_ED/GT_resamp_12.nii.gz
P9S7W2_ES/Img_resamp_12.nii.gz,P9S7W2_ES/GT_resamp_12.nii.gz
A1D0Q7_ED/Img_resamp_12.nii.gz,A1D0Q7_ED/GT_resamp_12.nii.gz
D8O0W2_ES/Img_resamp_12.nii.gz,D8O0W2_ES/GT_resamp_12.nii.gz
P3R6Y5_ES/Img_resamp_12.nii.gz,P3R6Y5_ES/GT_resamp_12.nii.gz
