image_filenames,label_filenames
patient001/patient001_ED.nii.gz,patient001/patient001_ED_gt.nii.gz
patient002/patient002_ED.nii.gz,patient002/patient002_ED_gt.nii.gz
patient003/patient003_ED.nii.gz,patient003/patient003_ED_gt.nii.gz
patient004/patient004_ES.nii.gz,patient004/patient004_ES_gt.nii.gz
patient005/patient005_ES.nii.gz,patient005/patient005_ES_gt.nii.gz
patient006/patient006_ES.nii.gz,patient006/patient006_ES_gt.nii.gz
patient007/patient007_ES.nii.gz,patient007/patient007_ES_gt.nii.gz
patient008/patient008_ED.nii.gz,patient008/patient008_ED_gt.nii.gz
patient009/patient009_ES.nii.gz,patient009/patient009_ES_gt.nii.gz
patient010/patient010_ES.nii.gz,patient010/patient010_ES_gt.nii.gz
patient011/patient011_ES.nii.gz,patient011/patient011_ES_gt.nii.gz
patient012/patient012_ES.nii.gz,patient012/patient012_ES_gt.nii.gz
patient013/patient013_ES.nii.gz,patient013/patient013_ES_gt.nii.gz
patient014/patient014_ES.nii.gz,patient014/patient014_ES_gt.nii.gz
patient015/patient015_ES.nii.gz,patient015/patient015_ES_gt.nii.gz
patient016/patient016_ED.nii.gz,patient016/patient016_ED_gt.nii.gz
patient017/patient017_ED.nii.gz,patient017/patient017_ED_gt.nii.gz
patient018/patient018_ED.nii.gz,patient018/patient018_ED_gt.nii.gz
patient021/patient021_ED.nii.gz,patient021/patient021_ED_gt.nii.gz
patient022/patient022_ES.nii.gz,patient022/patient022_ES_gt.nii.gz
patient023/patient023_ES.nii.gz,patient023/patient023_ES_gt.nii.gz
patient024/patient024_ED.nii.gz,patient024/patient024_ED_gt.nii.gz
patient025/patient025_ES.nii.gz,patient025/patient025_ES_gt.nii.gz
patient026/patient026_ED.nii.gz,patient026/patient026_ED_gt.nii.gz
patient027/patient027_ED.nii.gz,patient027/patient027_ED_gt.nii.gz
patient028/patient028_ES.nii.gz,patient028/patient028_ES_gt.nii.gz
patient029/patient029_ED.nii.gz,patient029/patient029_ED_gt.nii.gz
patient030/patient030_ED.nii.gz,patient030/patient030_ED_gt.nii.gz
patient031/patient031_ED.nii.gz,patient031/patient031_ED_gt.nii.gz
patient032/patient032_ED.nii.gz,patient032/patient032_ED_gt.nii.gz
patient033/patient033_ED.nii.gz,patient033/patient033_ED_gt.nii.gz
patient034/patient034_ES.nii.gz,patient034/patient034_ES_gt.nii.gz
patient035/patient035_ED.nii.gz,patient035/patient035_ED_gt.nii.gz
patient036/patient036_ES.nii.gz,patient036/patient036_ES_gt.nii.gz
patient037/patient037_ED.nii.gz,patient037/patient037_ED_gt.nii.gz
patient038/patient038_ED.nii.gz,patient038/patient038_ED_gt.nii.gz
patient041/patient041_ED.nii.gz,patient041/patient041_ED_gt.nii.gz
patient042/patient042_ES.nii.gz,patient042/patient042_ES_gt.nii.gz
patient043/patient043_ES.nii.gz,patient043/patient043_ES_gt.nii.gz
patient044/patient044_ED.nii.gz,patient044/patient044_ED_gt.nii.gz
patient045/patient045_ES.nii.gz,patient045/patient045_ES_gt.nii.gz
patient046/patient046_ED.nii.gz,patient046/patient046_ED_gt.nii.gz
patient047/patient047_ED.nii.gz,patient047/patient047_ED_gt.nii.gz
patient048/patient048_ES.nii.gz,patient048/patient048_ES_gt.nii.gz
patient049/patient049_ED.nii.gz,patient049/patient049_ED_gt.nii.gz
patient050/patient050_ED.nii.gz,patient050/patient050_ED_gt.nii.gz
patient051/patient051_ES.nii.gz,patient051/patient051_ES_gt.nii.gz
patient052/patient052_ED.nii.gz,patient052/patient052_ED_gt.nii.gz
patient053/patient053_ED.nii.gz,patient053/patient053_ED_gt.nii.gz
patient054/patient054_ED.nii.gz,patient054/patient054_ED_gt.nii.gz
patient055/patient055_ED.nii.gz,patient055/patient055_ED_gt.nii.gz
patient056/patient056_ES.nii.gz,patient056/patient056_ES_gt.nii.gz
patient057/patient057_ED.nii.gz,patient057/patient057_ED_gt.nii.gz
patient058/patient058_ED.nii.gz,patient058/patient058_ED_gt.nii.gz
patient061/patient061_ES.nii.gz,patient061/patient061_ES_gt.nii.gz
patient062/patient062_ED.nii.gz,patient062/patient062_ED_gt.nii.gz
patient063/patient063_ES.nii.gz,patient063/patient063_ES_gt.nii.gz
patient064/patient064_ES.nii.gz,patient064/patient064_ES_gt.nii.gz
patient065/patient065_ED.nii.gz,patient065/patient065_ED_gt.nii.gz
