image_filenames,label_filenames
patient001/patient001_ED.nii.gz,patient001/patient001_ED_gt.nii.gz
patient002/patient002_ED.nii.gz,patient002/patient002_ED_gt.nii.gz
patient003/patient003_ED.nii.gz,patient003/patient003_ED_gt.nii.gz
patient004/patient004_ED.nii.gz,patient004/patient004_ED_gt.nii.gz
patient005/patient005_ED.nii.gz,patient005/patient005_ED_gt.nii.gz
patient006/patient006_ED.nii.gz,patient006/patient006_ED_gt.nii.gz
patient007/patient007_ED.nii.gz,patient007/patient007_ED_gt.nii.gz
patient008/patient008_ED.nii.gz,patient008/patient008_ED_gt.nii.gz
patient009/patient009_ED.nii.gz,patient009/patient009_ED_gt.nii.gz
patient010/patient010_ED.nii.gz,patient010/patient010_ED_gt.nii.gz
patient011/patient011_ED.nii.gz,patient011/patient011_ED_gt.nii.gz
patient012/patient012_ED.nii.gz,patient012/patient012_ED_gt.nii.gz
patient013/patient013_ED.nii.gz,patient013/patient013_ED_gt.nii.gz
patient014/patient014_ED.nii.gz,patient014/patient014_ED_gt.nii.gz
patient015/patient015_ED.nii.gz,patient015/patient015_ED_gt.nii.gz
patient016/patient016_ED.nii.gz,patient016/patient016_ED_gt.nii.gz
patient021/patient021_ED.nii.gz,patient021/patient021_ED_gt.nii.gz
patient022/patient022_ED.nii.gz,patient022/patient022_ED_gt.nii.gz
patient023/patient023_ED.nii.gz,patient023/patient023_ED_gt.nii.gz
patient024/patient024_ED.nii.gz,patient024/patient024_ED_gt.nii.gz
patient025/patient025_ED.nii.gz,patient025/patient025_ED_gt.nii.gz
patient026/patient026_ED.nii.gz,patient026/patient026_ED_gt.nii.gz
patient027/patient027_ED.nii.gz,patient027/patient027_ED_gt.nii.gz
patient028/patient028_ED.nii.gz,patient028/patient028_ED_gt.nii.gz
patient029/patient029_ED.nii.gz,patient029/patient029_ED_gt.nii.gz
patient030/patient030_ED.nii.gz,patient030/patient030_ED_gt.nii.gz
patient031/patient031_ED.nii.gz,patient031/patient031_ED_gt.nii.gz
patient032/patient032_ED.nii.gz,patient032/patient032_ED_gt.nii.gz
patient033/patient033_ED.nii.gz,patient033/patient033_ED_gt.nii.gz
patient034/patient034_ED.nii.gz,patient034/patient034_ED_gt.nii.gz
patient035/patient035_ED.nii.gz,patient035/patient035_ED_gt.nii.gz
patient036/patient036_ED.nii.gz,patient036/patient036_ED_gt.nii.gz
patient041/patient041_ED.nii.gz,patient041/patient041_ED_gt.nii.gz
patient042/patient042_ED.nii.gz,patient042/patient042_ED_gt.nii.gz
patient043/patient043_ED.nii.gz,patient043/patient043_ED_gt.nii.gz
patient044/patient044_ED.nii.gz,patient044/patient044_ED_gt.nii.gz
patient045/patient045_ED.nii.gz,patient045/patient045_ED_gt.nii.gz
patient046/patient046_ED.nii.gz,patient046/patient046_ED_gt.nii.gz
patient047/patient047_ED.nii.gz,patient047/patient047_ED_gt.nii.gz
patient048/patient048_ED.nii.gz,patient048/patient048_ED_gt.nii.gz
patient049/patient049_ED.nii.gz,patient049/patient049_ED_gt.nii.gz
patient050/patient050_ED.nii.gz,patient050/patient050_ED_gt.nii.gz
patient051/patient051_ED.nii.gz,patient051/patient051_ED_gt.nii.gz
patient052/patient052_ED.nii.gz,patient052/patient052_ED_gt.nii.gz
patient053/patient053_ED.nii.gz,patient053/patient053_ED_gt.nii.gz
patient054/patient054_ED.nii.gz,patient054/patient054_ED_gt.nii.gz
patient055/patient055_ED.nii.gz,patient055/patient055_ED_gt.nii.gz
patient056/patient056_ED.nii.gz,patient056/patient056_ED_gt.nii.gz
patient061/patient061_ED.nii.gz,patient061/patient061_ED_gt.nii.gz
patient062/patient062_ED.nii.gz,patient062/patient062_ED_gt.nii.gz
patient063/patient063_ED.nii.gz,patient063/patient063_ED_gt.nii.gz
patient064/patient064_ED.nii.gz,patient064/patient064_ED_gt.nii.gz
patient065/patient065_ED.nii.gz,patient065/patient065_ED_gt.nii.gz
patient066/patient066_ED.nii.gz,patient066/patient066_ED_gt.nii.gz
patient067/patient067_ED.nii.gz,patient067/patient067_ED_gt.nii.gz
patient068/patient068_ED.nii.gz,patient068/patient068_ED_gt.nii.gz
patient069/patient069_ED.nii.gz,patient069/patient069_ED_gt.nii.gz
patient070/patient070_ED.nii.gz,patient070/patient070_ED_gt.nii.gz
patient071/patient071_ED.nii.gz,patient071/patient071_ED_gt.nii.gz
