image_filenames,label_filenames
L6T2T5_ES/Img_resamp_12.nii.gz,L6T2T5_ES/Img_resamp_12.nii.gz
H6P7T1_ED/Img_resamp_12.nii.gz,H6P7T1_ED/Img_resamp_12.nii.gz
K5L4S1_ES/Img_resamp_12.nii.gz,K5L4S1_ES/Img_resamp_12.nii.gz
I8N8Y1_ED/Img_resamp_12.nii.gz,I8N8Y1_ED/Img_resamp_12.nii.gz
K3P3Y6_ES/Img_resamp_12.nii.gz,K3P3Y6_ES/Img_resamp_12.nii.gz
F9M1R2_ED/Img_resamp_12.nii.gz,F9M1R2_ED/Img_resamp_12.nii.gz
N7P3T8_ED/Img_resamp_12.nii.gz,N7P3T8_ED/Img_resamp_12.nii.gz
A5P5W0_ES/Img_resamp_12.nii.gz,A5P5W0_ES/Img_resamp_12.nii.gz
Q4W5Z8_ES/Img_resamp_12.nii.gz,Q4W5Z8_ES/Img_resamp_12.nii.gz
A6A8H0_ED/Img_resamp_12.nii.gz,A6A8H0_ED/Img_resamp_12.nii.gz
C5L0R0_ES/Img_resamp_12.nii.gz,C5L0R0_ES/Img_resamp_12.nii.gz
A7F4G2_ED/Img_resamp_12.nii.gz,A7F4G2_ED/Img_resamp_12.nii.gz
D1S5T8_ED/Img_resamp_12.nii.gz,D1S5T8_ED/Img_resamp_12.nii.gz
A1K2P5_ES/Img_resamp_12.nii.gz,A1K2P5_ES/Img_resamp_12.nii.gz
A4K8R4_ED/Img_resamp_12.nii.gz,A4K8R4_ED/Img_resamp_12.nii.gz
T2Z1Z9_ED/Img_resamp_12.nii.gz,T2Z1Z9_ED/Img_resamp_12.nii.gz
N9Q4T8_ES/Img_resamp_12.nii.gz,N9Q4T8_ES/Img_resamp_12.nii.gz
N7W6Z8_ED/Img_resamp_12.nii.gz,N7W6Z8_ED/Img_resamp_12.nii.gz
J6M5O2_ES/Img_resamp_12.nii.gz,J6M5O2_ES/Img_resamp_12.nii.gz
B9G4U2_ED/Img_resamp_12.nii.gz,B9G4U2_ED/Img_resamp_12.nii.gz
G4I7V2_ED/Img_resamp_12.nii.gz,G4I7V2_ED/Img_resamp_12.nii.gz
A5Q1W8_ED/Img_resamp_12.nii.gz,A5Q1W8_ED/Img_resamp_12.nii.gz
M2P5T8_ES/Img_resamp_12.nii.gz,M2P5T8_ES/Img_resamp_12.nii.gz
O5U2U7_ES/Img_resamp_12.nii.gz,O5U2U7_ES/Img_resamp_12.nii.gz
K7N0R7_ED/Img_resamp_12.nii.gz,K7N0R7_ED/Img_resamp_12.nii.gz
